[2026-07-02T07:56:11.766Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/edit → 200 (564ms, ?B)
[2026-07-02T07:56:15.346Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/docos/p/sync?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&reqid=0&sid=21812f7611788f9&vc=1&c=1&w=1&flr=0&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&includes_info_params=true&cros_files=false&nded=false&tab=t.0 → pending (?ms, ?B)
[2026-07-02T07:56:15.346Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/bind?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&includes_info_params=true&cros_files=false&nded=false&VER=8&tab=t.0&lsq=1782976617533&u=ANONYMOUS_06287517911256457317&vc=1&c=1&w=1&flr=0&gsi&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&cimpl=0&RID=rpc&SID=89B8AFB18AC31388&CI=0&AID=2&TYPE=xmlhttp&zx=jidv0y3iesvd&t=1 → pending (?ms, ?B)
[2026-07-02T07:56:15.363Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=voice → pending (?ms, ?B)
[2026-07-02T07:56:15.376Z] GET https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://docs.google.com/drivesharing/clientmodel?id%3D16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM%26foreignService%3Dkix%26authuser%3D0%26origin%3Dhttps://docs.google.com&followup=https://docs.google.com/drivesharing/clientmodel?id%3D16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM%26foreignService%3Dkix%26authuser%3D0%26origin%3Dhttps://docs.google.com → pending (?ms, ?B)
[2026-07-02T07:56:15.378Z] GET https://www.gstatic.com/inputtools/images/ita_sprite8.png → pending (?ms, ?B)
[2026-07-02T07:56:15.449Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_explore → 200 (79ms, 5040B)
[2026-07-02T07:56:15.512Z] GET https://apis.google.com/_/scs/abc-static/_/js/k=gapi.lb.en.ch0Jz-JlMrQ.O/m=client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A/cb=gapi.loaded_0?le=scs,fedcm_migration_mod → 200 (262ms, 110844B)
[2026-07-02T07:56:15.529Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_approvals → 200 (76ms, 3252B)
[2026-07-02T07:56:15.551Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/selection?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&vc=1&c=1&w=1&flr=0&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&includes_info_params=true&cros_files=false&nded=false&tab=t.0 → 200 (328ms, 59B)
[2026-07-02T07:56:15.606Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=peoplehovercard → 200 (80ms, 8745B)
[2026-07-02T07:56:15.641Z] GET https://accounts.google.com/InteractiveLogin?continue=https://docs.google.com/drivesharing/clientmodel?id%3D16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM%26foreignService%3Dkix%26authuser%3D0%26origin%3Dhttps://docs.google.com&followup=https://docs.google.com/drivesharing/clientmodel?id%3D16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM%26foreignService%3Dkix%26authuser%3D0%26origin%3Dhttps://docs.google.com&passive=1209600&dsh=S-1828381229:1782978975651233 → 302 (106ms, 495B)
[2026-07-02T07:56:15.688Z] GET https://apis.google.com/_/scs/abc-static/_/js/k=gapi.lb.en.ch0Jz-JlMrQ.O/m=card/exm=client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A/cb=gapi.loaded_1?le=scs,fedcm_migration_mod → 200 (203ms, 20616B)
[2026-07-02T07:56:15.688Z] GET https://apis.google.com/_/scs/abc-static/_/js/k=gapi.lb.en.ch0Jz-JlMrQ.O/m=config/exm=card,client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A/cb=gapi.loaded_2?le=scs,fedcm_migration_mod → 200 (107ms, 86B)
[2026-07-02T07:56:15.688Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=emojidata → 200 (107ms, 81783B)
[2026-07-02T07:56:15.747Z] GET https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fdocs.google.com%2Fdrivesharing%2Fclientmodel%3Fid%3D16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM%26foreignService%3Dkix%26authuser%3D0%26origin%3Dhttps%3A%2F%2Fdocs.google.com&dsh=S-1828381229%3A1782978975651233&followup=https%3A%2F%2Fdocs.google.com%2Fdrivesharing%2Fclientmodel%3Fid%3D16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM%26foreignService%3Dkix%26authuser%3D0%26origin%3Dhttps%3A%2F%2Fdocs.google.com&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AcDsRvweNaHLutzwD2q3fXP-tx3JOuZhTlHgDeGdrTN2Kh7JCfat8mCvJWK_uOgrwIR4USfOvLcWIQ → 403 (143ms, 843B)
[2026-07-02T07:56:15.795Z] POST https://content-espresso-pa.googleapis.com/v1/prewarm?key=AIzaSyCmh4zG9srkxnlT2O2FRJLrxBOBRaWWxNk&alt=protojson → 200 (429ms, 212B)
[2026-07-02T07:56:15.795Z] POST https://appsgrowthpromo-pa.clients6.google.com/v1/promotion/FetchRecommendation?key=AIzaSyAdssGVZZ7gdCUguDajJZjJys9fvi2DEWM&alt=protojson → pending (?ms, ?B)
[2026-07-02T07:56:15.802Z] POST https://appsgenaiserver-pa.clients6.google.com/v1/genai/getSettings?key=AIzaSyCmh4zG9srkxnlT2O2FRJLrxBOBRaWWxNk → 401 (143ms, 294B)
[2026-07-02T07:56:15.897Z] GET https://www.gstatic.com/feedback/js/help/prod/service/lazy.min.js → 200 (122ms, 40128B)
[2026-07-02T07:56:15.897Z] GET https://contacts.google.com/widget/hovercard/v/2?origin=https%3A%2F%2Fdocs.google.com&usegapi=1&jsh=m%3B%2F_%2Fscs%2Fabc-static%2F_%2Fjs%2Fk%3Dgapi.lb.en.ch0Jz-JlMrQ.O%2Fd%3D1%2Frs%3DAHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A%2Fm%3D__features__ → 200 (295ms, 11654B)
[2026-07-02T07:56:15.906Z] GET https://www.google.com/images/branding/googlelogo/1x/googlelogo_color_150x54dp.png → 200 (297ms, 3612B)
[2026-07-02T07:56:16.049Z] POST https://appsgenaiserver-pa.clients6.google.com/v1/genai/getSettings?key=AIzaSyCmh4zG9srkxnlT2O2FRJLrxBOBRaWWxNk → 401 (85ms, 294B)
[2026-07-02T07:56:16.198Z] GET https://fonts.googleapis.com/css2?family=Google+Sans+Text:wght@400;500;700 → pending (?ms, ?B)
[2026-07-02T07:56:16.204Z] GET https://contacts.google.com/_/scs/social-static/_/js/k=boq.SocialPeopleHovercardUi.en_US.YFUMNTLmxQc.2018.O/am=AAAAYLAG/d=1/excm=_b,_tp,hovercardwidget/ed=1/dg=0/wt=2/ujg=1/rs=AGLTcCOwzQ4YjaQfqxA5UvSHxIyCC201MA/dti=1/m=_b,_tp → pending (?ms, ?B)
[2026-07-02T07:56:16.256Z] POST https://play.google.com/log?format=json&hasfast=true&authuser=0 → pending (?ms, ?B)
[2026-07-02T07:56:16.523Z] GET https://contacts.google.com/_/scs/social-static/_/js/k=boq.SocialPeopleHovercardUi.en_US.YFUMNTLmxQc.2018.O/ck=boq.SocialPeopleHovercardUi.FnGvbi4sK8o.L.B1.O/am=AAAAYLAG/d=1/exm=_b,_tp/excm=_b,_tp,hovercardwidget/ed=1/wt=2/ujg=1/rs=AGLTcCNnqkxyQbGTu6KmWSao7YLWFYd4lQ/ee=EVNhjf:pw70Gc;EmZ2Bf:zr1jrb;JsbNhc:Xd8iUd;K5nYTd:ZDZcre;LBgRLc:SdcwHb;Me32dd:MEeYgc;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;Pjplud:EEDORb;QGR0gd:Mlhmy;SNUn3:ZwDk9d;ScI3Yc:e7Hzgb;Uvc8o:VDovNc;YIZmRd:A1yn5d;a56pNe:JEfCwb;cEt90b:ws9Tlc;dIoSBb:SpsfSb;dowIGb:ebZ3mb;eBAeSb:zbML3c;iFQyKf:QIhFr;lOO0Vd:OTA3Ae;oGtAuc:sOXFj;pXdRYb:MdUzUe;qQEoOc:KUM7Z;qafBPd:yDVVkb;qddgKe:xQtZb;wR5FRb:O1Gjze;xqZiqf:wmnU7d;yxTchf:KUM7Z;zxnPse:GkRiKb/dti=1/m=ws9Tlc,O6y8ed,aW3pY,GkRiKb,e5qFLc,IZT63,YYmHzb,pw70Gc,n73qwf,UUJqVe,KUM7Z,O1Gjze,byfTOb,lsjVmc,xUdipf,ZDZcre,OTA3Ae,ZwDk9d,RyvaUb,WO9ee,mI3LFb,Xg7Hl,PrPYRd,MpJwZc,LEikZe,NwH0H,V3dDOb,lazG7b,XVMNvd,QIhFr,xQtZb,lwddkf,gychg,w9hDv,RMhBfe,SdcwHb,EFQ78c,Ulmmrd,A7fCU,mdR7q,wmnU7d,hc6Ubd,JNoxi,MI6k7c,kjKdXe,BVgquf,SpsfSb,hKSk3e,Z5uLle,MdUzUe,zbML3c,zr1jrb,Uas9Hd,pjICDe → 200 (421ms, 241413B)
[2026-07-02T07:56:16.524Z] GET https://contacts.google.com/_/scs/social-static/_/js/k=boq.SocialPeopleHovercardUi.en_US.YFUMNTLmxQc.2018.O/ck=boq.SocialPeopleHovercardUi.FnGvbi4sK8o.L.B1.O/am=AAAAYLAG/d=1/exm=A7fCU,BVgquf,EFQ78c,GkRiKb,IZT63,JNoxi,KUM7Z,LEikZe,MI6k7c,MdUzUe,MpJwZc,NwH0H,O1Gjze,O6y8ed,OTA3Ae,PrPYRd,QIhFr,RMhBfe,RyvaUb,SdcwHb,SpsfSb,UUJqVe,Uas9Hd,Ulmmrd,V3dDOb,WO9ee,XVMNvd,Xg7Hl,YYmHzb,Z5uLle,ZDZcre,ZwDk9d,_b,_tp,aW3pY,byfTOb,e5qFLc,gychg,hKSk3e,hc6Ubd,kjKdXe,lazG7b,lsjVmc,lwddkf,mI3LFb,mdR7q,n73qwf,pjICDe,pw70Gc,w9hDv,wmnU7d,ws9Tlc,xQtZb,xUdipf,zbML3c,zr1jrb/excm=_b,_tp,hovercardwidget/ed=1/wt=2/ujg=1/rs=AGLTcCNnqkxyQbGTu6KmWSao7YLWFYd4lQ/ee=EVNhjf:pw70Gc;EmZ2Bf:zr1jrb;JsbNhc:Xd8iUd;K5nYTd:ZDZcre;LBgRLc:SdcwHb;Me32dd:MEeYgc;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;Pjplud:EEDORb;QGR0gd:Mlhmy;SNUn3:ZwDk9d;ScI3Yc:e7Hzgb;Uvc8o:VDovNc;YIZmRd:A1yn5d;a56pNe:JEfCwb;cEt90b:ws9Tlc;dIoSBb:SpsfSb;dowIGb:ebZ3mb;eBAeSb:zbML3c;iFQyKf:QIhFr;lOO0Vd:OTA3Ae;oGtAuc:sOXFj;pXdRYb:MdUzUe;qQEoOc:KUM7Z;qafBPd:yDVVkb;qddgKe:xQtZb;wR5FRb:O1Gjze;xqZiqf:wmnU7d;yxTchf:KUM7Z;zxnPse:GkRiKb/dti=1/m=Wt6vjf,hhhU8,FCpbqb,WhJNk → 200 (97ms, 1696B)
[2026-07-02T07:56:16.998Z] GET https://apis.google.com/js/api.js → 200 (2ms, -839B)
[2026-07-02T07:56:17.000Z] GET https://contacts.google.com/_/scs/social-static/_/js/k=boq.SocialPeopleHovercardUi.en_US.YFUMNTLmxQc.2018.O/ck=boq.SocialPeopleHovercardUi.FnGvbi4sK8o.L.B1.O/am=AAAAYLAG/d=1/exm=A7fCU,BVgquf,EFQ78c,FCpbqb,GkRiKb,IZT63,JNoxi,KUM7Z,LEikZe,MI6k7c,MdUzUe,MpJwZc,NwH0H,O1Gjze,O6y8ed,OTA3Ae,PrPYRd,QIhFr,RMhBfe,RyvaUb,SdcwHb,SpsfSb,UUJqVe,Uas9Hd,Ulmmrd,V3dDOb,WO9ee,WhJNk,Wt6vjf,XVMNvd,Xg7Hl,YYmHzb,Z5uLle,ZDZcre,ZwDk9d,_b,_tp,aW3pY,byfTOb,e5qFLc,gychg,hKSk3e,hc6Ubd,hhhU8,kjKdXe,lazG7b,lsjVmc,lwddkf,mI3LFb,mdR7q,n73qwf,pjICDe,pw70Gc,w9hDv,wmnU7d,ws9Tlc,xQtZb,xUdipf,zbML3c,zr1jrb/excm=_b,_tp,hovercardwidget/ed=1/wt=2/ujg=1/rs=AGLTcCNnqkxyQbGTu6KmWSao7YLWFYd4lQ/ee=EVNhjf:pw70Gc;EmZ2Bf:zr1jrb;JsbNhc:Xd8iUd;K5nYTd:ZDZcre;LBgRLc:SdcwHb;Me32dd:MEeYgc;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;Pjplud:EEDORb;QGR0gd:Mlhmy;SNUn3:ZwDk9d;ScI3Yc:e7Hzgb;Uvc8o:VDovNc;YIZmRd:A1yn5d;a56pNe:JEfCwb;cEt90b:ws9Tlc;dIoSBb:SpsfSb;dowIGb:ebZ3mb;eBAeSb:zbML3c;iFQyKf:QIhFr;lOO0Vd:OTA3Ae;oGtAuc:sOXFj;pXdRYb:MdUzUe;qQEoOc:KUM7Z;qafBPd:yDVVkb;qddgKe:xQtZb;wR5FRb:O1Gjze;xqZiqf:wmnU7d;yxTchf:KUM7Z;zxnPse:GkRiKb/dti=1/m=P6sQOc → 200 (77ms, 1079B)
[2026-07-02T07:56:17.002Z] GET https://apis.google.com/_/scs/abc-static/_/js/k=gapi.lb.en.ch0Jz-JlMrQ.O/m=gapi_iframes/rt=j/sv=1/d=1/ed=1/rs=AHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A/cb=gapi.loaded_0?le=scs,fedcm_migration_mod → 200 (87ms, 34736B)
[2026-07-02T07:56:21.924Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/selection?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&vc=1&c=1&w=1&flr=0&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&includes_info_params=true&cros_files=false&nded=false&tab=t.0 → 200 (242ms, 60B)
[2026-07-02T07:56:21.924Z] GET https://ssl.gstatic.com/docs/common/profile/axolotl_lg.png → 200 (87ms, 1583B)
[2026-07-02T07:56:22.171Z] POST https://play.google.com/log?format=json&hasfast=true&authuser=0 → 200 (85ms, 153B)
[2026-07-02T07:56:24.369Z] POST https://play.google.com/log?format=json&hasfast=true → pending (?ms, ?B)
[2026-07-02T07:56:24.370Z] POST https://play.google.com/log?format=json&hasfast=true → pending (?ms, ?B)
[2026-07-02T07:56:32.964Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/selection?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&vc=1&c=1&w=1&flr=0&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&includes_info_params=true&cros_files=false&nded=false&tab=t.0 → 200 (334ms, ?B)
[2026-07-02T07:56:33.316Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/selection?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&vc=1&c=1&w=1&flr=0&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&includes_info_params=true&cros_files=false&nded=false&tab=t.0 → pending (?ms, 59B)
[2026-07-02T07:56:33.565Z] POST https://play.google.com/log?format=json&hasfast=true&authuser=0 → 200 (126ms, 153B)
[2026-07-02T07:56:36.411Z] POST https://appsgrowthpromo-pa.clients6.google.com/v1/promotion/FetchRecommendation?key=AIzaSyAdssGVZZ7gdCUguDajJZjJys9fvi2DEWM&alt=protojson → 401 (116ms, 306B)
[2026-07-02T07:56:45.145Z] POST https://play.google.com/log?format=json&hasfast=true&authuser=0 → 200 (165ms, 153B)
[2026-07-02T07:56:58.717Z] GET https://ssl.gstatic.com/docs/common/netcheck.gif?zx=p7b28rczan6a → 200 (151ms, 66B)
[2026-07-02T07:57:06.197Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/selection?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&vc=1&c=1&w=1&flr=0&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&includes_info_params=true&cros_files=false&nded=false&tab=t.0 → 200 (234ms, 60B)
[2026-07-02T07:57:06.437Z] POST https://play.google.com/log?format=json&hasfast=true&authuser=0 → pending (?ms, ?B)
[2026-07-02T07:57:13.295Z] POST https://play.google.com/log?format=json&hasfast=true&authuser=0 → 200 (73ms, 153B)
[2026-07-02T07:57:16.269Z] POST https://play.google.com/log?format=json&hasfast=true&authuser=0 → 200 (89ms, 153B)
